,회사,사업,직원수,기업구분,대졸초임,정규직 채용
0,넛지헬스케어㈜,모바일·APP,227명,벤처기업,None,100회
1,㈜코리아페이먼트,솔루션·SI·CRM·ERP,8명,중소기업,None,2회
2,㈜좋은정보기술,응용 소프트웨어 개발 및 공급업,15명,중소기업,None,51회
3,테크에스지㈜,기타 부동산 개발 및 공급업,5명,중소기업,None,7회
4,한국스마트정보교육원,기타 기술 및 직업훈련학원,4명,중소기업,None,8회
5,코아아이티,컴퓨터·하드웨어·장비,101명,중소기업,"2,950만원",127회
6,플레이워크,데이터베이스 및 온라인정보 제공업,-,중소기업,None,23회
7,디제이메디㈜,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,11회
8,㈜오앤트,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,99회
9,㈜큐브베리,응용 소프트웨어 개발 및 공급업,9명,중소기업,None,4회
10,제이이노텍,응용 소프트웨어 개발 및 공급업,26명,중소기업,None,78회
11,㈜메가젠임플란트,제약·보건·바이오,730명,중견기업,"4,200만원",219회
12,몽구스에이아이㈜,기타 엔지니어링 서비스업,-,중소기업,None,3회
13,㈜보인정보기술,솔루션·SI·CRM·ERP,55명,중소기업,"3,000만원",78회
14,㈜스냅컴퍼니,IT컨설팅,120명,중소기업,None,150회
15,아람㈜,기타 게임 소프트웨어 개발 및 공급업,3명,중소기업,None,18회
16,하솜정보기술㈜,솔루션·SI·CRM·ERP,10명,중소기업,None,34회
17,오아㈜,생활용품·소비재·기타,124명,중소기업,"3,000만원",42회
18,㈜에프아이티,솔루션·SI·CRM·ERP,20명,벤처기업,None,13회
19,내가그린기린그림,웹에이전시,12명,중소기업,None,30회
20,㈜텐노드솔루션,응용 소프트웨어 개발 및 공급업,55명,중소기업,"3,650만원",8회
21,바이오링크㈜,솔루션·SI·CRM·ERP,11명,중소기업,None,19회
22,㈜쓰리탑,쇼핑몰·오픈마켓·소셜커머스,90명,중소기업,"3,400만원",32회
23,㈜저스티드,응용 소프트웨어 개발 및 공급업,22명,중소기업,None,1회
24,㈜웅진,지주회사,888명,중견기업,None,814회
25,㈜케이에스씨앤씨(KSC&C Inc.),시스템 소프트웨어 개발 및 공급업,60명,중소기업,None,53회
26,넛지헬스케어㈜,모바일·APP,227명,벤처기업,None,100회
27,㈜코리아페이먼트,솔루션·SI·CRM·ERP,8명,중소기업,None,2회
28,㈜좋은정보기술,응용 소프트웨어 개발 및 공급업,15명,중소기업,None,51회
29,테크에스지㈜,기타 부동산 개발 및 공급업,5명,중소기업,None,7회
30,한국스마트정보교육원,기타 기술 및 직업훈련학원,4명,중소기업,None,8회
31,코아아이티,컴퓨터·하드웨어·장비,101명,중소기업,"2,950만원",127회
32,플레이워크,데이터베이스 및 온라인정보 제공업,-,중소기업,None,23회
33,디제이메디㈜,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,11회
34,㈜오앤트,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,99회
35,㈜큐브베리,응용 소프트웨어 개발 및 공급업,9명,중소기업,None,4회
36,제이이노텍,응용 소프트웨어 개발 및 공급업,26명,중소기업,None,78회
37,㈜메가젠임플란트,제약·보건·바이오,730명,중견기업,"4,200만원",219회
38,몽구스에이아이㈜,기타 엔지니어링 서비스업,-,중소기업,None,3회
39,㈜보인정보기술,솔루션·SI·CRM·ERP,55명,중소기업,"3,000만원",78회
40,㈜스냅컴퍼니,IT컨설팅,120명,중소기업,None,150회
41,아람㈜,기타 게임 소프트웨어 개발 및 공급업,3명,중소기업,None,18회
42,하솜정보기술㈜,솔루션·SI·CRM·ERP,10명,중소기업,None,34회
43,오아㈜,생활용품·소비재·기타,124명,중소기업,"3,000만원",42회
44,㈜에프아이티,솔루션·SI·CRM·ERP,20명,벤처기업,None,13회
45,내가그린기린그림,웹에이전시,12명,중소기업,None,30회
46,㈜텐노드솔루션,응용 소프트웨어 개발 및 공급업,55명,중소기업,"3,650만원",8회
47,바이오링크㈜,솔루션·SI·CRM·ERP,11명,중소기업,None,19회
48,㈜쓰리탑,쇼핑몰·오픈마켓·소셜커머스,90명,중소기업,"3,400만원",32회
49,㈜저스티드,응용 소프트웨어 개발 및 공급업,22명,중소기업,None,1회
50,㈜웅진,지주회사,888명,중견기업,None,814회
51,㈜케이에스씨앤씨(KSC&C Inc.),시스템 소프트웨어 개발 및 공급업,60명,중소기업,None,53회
52,넛지헬스케어㈜,모바일·APP,227명,벤처기업,None,100회
53,㈜코리아페이먼트,솔루션·SI·CRM·ERP,8명,중소기업,None,2회
54,㈜좋은정보기술,응용 소프트웨어 개발 및 공급업,15명,중소기업,None,51회
55,테크에스지㈜,기타 부동산 개발 및 공급업,5명,중소기업,None,7회
56,한국스마트정보교육원,기타 기술 및 직업훈련학원,4명,중소기업,None,8회
57,코아아이티,컴퓨터·하드웨어·장비,101명,중소기업,"2,950만원",127회
58,플레이워크,데이터베이스 및 온라인정보 제공업,-,중소기업,None,23회
59,디제이메디㈜,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,11회
60,㈜오앤트,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,99회
61,㈜큐브베리,응용 소프트웨어 개발 및 공급업,9명,중소기업,None,4회
62,제이이노텍,응용 소프트웨어 개발 및 공급업,26명,중소기업,None,78회
63,㈜메가젠임플란트,제약·보건·바이오,730명,중견기업,"4,200만원",219회
64,몽구스에이아이㈜,기타 엔지니어링 서비스업,-,중소기업,None,3회
65,㈜보인정보기술,솔루션·SI·CRM·ERP,55명,중소기업,"3,000만원",78회
66,㈜스냅컴퍼니,IT컨설팅,120명,중소기업,None,150회
67,아람㈜,기타 게임 소프트웨어 개발 및 공급업,3명,중소기업,None,18회
68,하솜정보기술㈜,솔루션·SI·CRM·ERP,10명,중소기업,None,34회
69,오아㈜,생활용품·소비재·기타,124명,중소기업,"3,000만원",42회
70,㈜에프아이티,솔루션·SI·CRM·ERP,20명,벤처기업,None,13회
71,내가그린기린그림,웹에이전시,12명,중소기업,None,30회
72,㈜텐노드솔루션,응용 소프트웨어 개발 및 공급업,55명,중소기업,"3,650만원",8회
73,바이오링크㈜,솔루션·SI·CRM·ERP,11명,중소기업,None,19회
74,㈜쓰리탑,쇼핑몰·오픈마켓·소셜커머스,90명,중소기업,"3,400만원",32회
75,㈜저스티드,응용 소프트웨어 개발 및 공급업,22명,중소기업,None,1회
76,㈜웅진,지주회사,888명,중견기업,None,814회
77,㈜케이에스씨앤씨(KSC&C Inc.),시스템 소프트웨어 개발 및 공급업,60명,중소기업,None,53회
78,대원씨티에스(주),백화점·유통·도소매,244명,중견기업,"3,000만원",96회
79,㈜커넥트웨이브,쇼핑몰·오픈마켓·소셜커머스,"1,900명",중견기업,"3,300만원",54회
80,㈜쇼골프,포털 및 기타 인터넷 정보매개 서비스업,100명,중소기업,"2,750만원",78회
81,㈜KLIM솔루션,솔루션·SI·CRM·ERP,35명,중소기업,"3,000만원",14회
82,㈜앱메이드,솔루션·SI·CRM·ERP,0명,중소기업,None,48회
83,㈜유디아이디,솔루션·SI·CRM·ERP,80명,중소기업,"2,800만원",109회
84,㈜미니게이트,포털·컨텐츠·커뮤니티,95명,중소기업,None,137회
85,㈜에이에스티홀딩스,응용 소프트웨어 개발 및 공급업,52명,중소기업,"3,000만원",60회
86,㈜인젠트,솔루션·SI·CRM·ERP,262명,중소기업,"3,680만원",99회
87,㈜빅브라더스,솔루션·SI·CRM·ERP,7명,중소기업,None,1회
88,㈜스톤인테그리티,솔루션·SI·CRM·ERP,19명,벤처기업,None,33회
89,㈜엠로,솔루션·SI·CRM·ERP,285명,중소기업,"4,100만원",97회
90,㈜코어시큐리티,정보보안,40명,중소기업,None,72회
91,주차장만드는사람들㈜,모바일·APP,20명,벤처기업,"2,640만원",78회
92,㈜러닝뱅크,포털·컨텐츠·커뮤니티,23명,벤처기업,None,47회
93,주식회사 로지올,기타 육상 운송지원 서비스업,87명,중소기업,"2,800만원",74회
94,㈜한성전자산업,전기·전자·제어,19명,중소기업,None,5회
95,㈜아인잡,포털·컨텐츠·커뮤니티,7명,중소기업,None,41회
96,울랄라랩㈜,솔루션·SI·CRM·ERP,40명,벤처기업,"3,100만원",30회
97,㈜한커뮤니케이션,웹에이전시,19명,벤처기업,"2,800만원",24회
98,하이케어넷㈜,그 외 기타 의료용 기기 제조업,15명,중소기업,"3,100만원",12회
99,유징테크(주),솔루션·SI·CRM·ERP,24명,중소기업,None,46회
100,㈜더제이디와이,네트워크·통신서비스,2명,중소기업,None,3회
101,㈜한국공교육원,솔루션·SI·CRM·ERP,27명,중소기업,None,28회
102,남양부직포㈜ 앤듀소프트사업부,솔루션·SI·CRM·ERP,0명,중소기업,None,24회
103,㈜바이텍정보통신,컴퓨터·하드웨어·장비,95명,중소기업,None,55회
104,㈜아파트스토리,컴퓨터 프로그래밍 서비스업,11명,중소기업,"2,700만원",11회
105,㈜아이스크림미디어,포털·컨텐츠·커뮤니티,297명,중소기업,"3,700만원",90회
106,㈜케이에스오토플랜,기타 전문 서비스업,-,중소기업,None,10회
107,㈜뉴젠피앤피,솔루션·SI·CRM·ERP,20명,벤처기업,None,30회
108,(주)아이덴티티게임즈,유선 온라인 게임 소프트웨어 개발 및 공급업,112명,중소기업,None,11회
109,㈜싸이터(CYTUR Inc.),정보보안,12명,벤처기업,None,17회
110,㈜마켓링크,컨설팅·연구·조사,53명,중소기업,"3,500만원",25회
111,㈜마인드에이아이,시스템 소프트웨어 개발 및 공급업,20명,중소기업,None,73회
112,㈜비디,솔루션·SI·CRM·ERP,125명,중소기업,"3,300만원",41회
113,㈜에이텍모빌리티,기타 무선 통신장비 제조업,610명,중소기업,"3,117만원",112회
114,㈜위니텍,컴퓨터시스템 통합 자문 및 구축 서비스업,254명,중소기업,None,94회
115,키다리스튜디오,포털·컨텐츠·커뮤니티,300명,대기업 계열사·자회사,"5,300만원",19회
116,베스핀글로벌㈜,컴퓨터시스템 통합 자문 및 구축 서비스업,689명,중소기업,"3,965만원",4회
117,㈜스데반정보,솔루션·SI·CRM·ERP,20명,중소기업,None,24회
118,㈜왈라,컴퓨터 프로그래밍 서비스업,20명,벤처기업,"4,167만원",36회
119,㈜코드넛,응용 소프트웨어 개발 및 공급업,8명,중소기업,None,13회
120,㈜에이치씨엔씨,솔루션·SI·CRM·ERP,210명,중소기업,None,40회
121,엔프로젝트,솔루션·SI·CRM·ERP,10명,중소기업,None,12회
122,㈜옵티멀,전기·전자·제어,16명,중소기업,"3,300만원",64회
123,㈜빅링크,솔루션·SI·CRM·ERP,-,중소기업,None,15회
124,㈜칼리버스,포털·컨텐츠·커뮤니티,110명,중소기업,"4,900만원",104회
125,유진아이티서비스㈜,솔루션·SI·CRM·ERP,60명,대기업 계열사·자회사,"3,964만원",20회
126,㈜코페이,통신 재판매업,65명,중소기업,"2,750만원",99회
127,㈜뱅가드랩,솔루션·SI·CRM·ERP,50명,벤처기업,None,2회
128,㈜머스트핀테크,응용 소프트웨어 개발 및 공급업,150명,중소기업,"3,500만원",40회
129,홈텔리어㈜,상용 인력 공급 및 인사관리 서비스업,5명,중소기업,None,21회
130,㈜패스트뷰,응용 소프트웨어 개발 및 공급업,90명,중소기업,"4,033만원",52회
131,시크릿타운㈜,컴퓨터 프로그래밍 서비스업,42명,중소기업,"3,000만원",66회
132,㈜티사이언티픽,응용 소프트웨어 개발 및 공급업,198명,중소기업,"3,270만원",170회
133,㈜다에리소프트,게임·애니메이션,86명,벤처기업,"3,600만원",31회
134,에이치디솔루션즈㈜,컴퓨터·하드웨어·장비,40명,외국계(외국 투자기업),"3,450만원",14회
135,㈜프래믹스,솔루션·SI·CRM·ERP,10명,중소기업,None,6회
136,㈜마인즈에이아이,의학 및 약학 연구개발업,10명,중소기업,None,63회
137,㈜소프트제국,솔루션·SI·CRM·ERP,25명,벤처기업,None,14회
138,㈜피코이노베이션,그 외 기타 분류 안된 운송 관련 서비스업,41명,중소기업,None,35회
139,프라이빗테크놀로지㈜,정보보안,34명,중소기업,None,159회
140,체크멀,응용 소프트웨어 개발 및 공급업,14명,중소기업,None,46회
141,큐브플랫폼㈜,솔루션·SI·CRM·ERP,20명,벤처기업,None,7회
142,㈜델타엑스,응용 소프트웨어 개발 및 공급업,40명,중소기업,None,56회
143,㈜실리콘투,상품 종합 도매업,170명,중소기업,"3,500만원",140회
144,㈜파이디지털헬스케어,솔루션·SI·CRM·ERP,20명,대기업,"2,880만원",75회
145,㈜두노소프트,포털 및 기타 인터넷 정보매개 서비스업,중소기업,2015.07.13,None,73회
146,아스코 주식회사,기계·기계설비,50명,중소기업,None,31회
147,한국자산매입㈜,응용 소프트웨어 개발 및 공급업,12명,중소기업,None,11회
148,㈜버블콘,그 외 기타 정보 서비스업,18명,중소기업,"3,000만원",113회
149,넥스원소프트㈜,응용 소프트웨어 개발 및 공급업,33명,중소기업,"3,790만원",67회
150,㈜아이니네트웍스,솔루션·SI·CRM·ERP,40명,중소기업,"3,630만원",38회
151,㈜힘스,반도체·디스플레이·광학,235명,중소기업,"3,810만원",40회
152,㈜웨일로지스틱스,"화물운송 중개, 대리 및 관련 서비스업",9명,중소기업,None,12회
153,㈜스카이컴,솔루션·SI·CRM·ERP,28명,벤처기업,None,25회
154,트라이언소프트㈜,솔루션·SI·CRM·ERP,50명,중소기업,"3,450만원",41회
155,㈜가이스트코리아,솔루션·SI·CRM·ERP,70명,벤처기업,None,29회
156,도미노피자(청오디피케이),기타 식사용 가공처리 조리식품 제조업,418명,중견기업,"3,689만원",78회
157,㈜오아시스비즈니스,포털·컨텐츠·커뮤니티,23명,벤처기업,"3,515만원",48회
158,한국유투더블유㈜,응용 소프트웨어 개발 및 공급업,56명,중소기업,None,15회
159,아이넷피아커뮤니케이션,웹에이전시,25명,중소기업,None,20회
160,㈜디엑스지,전기·전자·제어,95명,중소기업,"3,300만원",43회
161,애커튼테크놀로지서비스,컴퓨터시스템 통합 자문 및 구축 서비스업,15명,대기업,None,23회
162,㈜씨에스엠17(CSM17),학교(초·중·고·대학·특수),벤처기업,2019.12.06,None,31회
163,㈜소도커뮤니케이션즈,학원·어학원·교육원,5명,벤처기업,None,2회
164,㈜노르마,정보보안,60명,중소기업,None,159회
165,㈜올포랜드,응용 소프트웨어 개발 및 공급업,417명,중소기업,None,28회
166,㈜플랫브레드,응용 소프트웨어 개발 및 공급업,33명,중소기업,"3,550만원",36회
167,㈜세번째 공간,전자상거래 소매업,4명,중소기업,None,5회
168,㈜연세교육아카데미,학원·어학원·교육원,25명,중소기업,None,17회
169,㈜퍼즐데이터,솔루션·SI·CRM·ERP,25명,벤처기업,"3,400만원",28회
170,㈜스타비젼,백화점·유통·도소매,111명,중소기업,"3,394만원",172회
171,㈜비상교육영어사업부,학원·어학원·교육원,"1,000명",중견기업,None,57회
172,㈜누리인포스,솔루션·SI·CRM·ERP,70명,중소기업,"3,100만원",25회
173,㈜띵스파이어,솔루션·SI·CRM·ERP,29명,벤처기업,None,114회
174,㈜커넥트웨이브,쇼핑몰·오픈마켓·소셜커머스,"1,900명",중견기업,"3,300만원",310회
175,㈜유니메오,솔루션·SI·CRM·ERP,40명,벤처기업,"3,200만원",97회
176,㈜세찬아이앤씨,응용 소프트웨어 개발 및 공급업,60명,중소기업,None,16회
177,㈜텔로스,응용 소프트웨어 개발 및 공급업,48명,중소기업,"2,900만원",79회
178,㈜비젠소프트,컴퓨터 프로그래밍 서비스업,25명,중소기업,"2,800만원",309회
179,스마트레이저,응용 소프트웨어 개발 및 공급업,13명,중소기업,None,8회
180,인피니언테크놀로지스파워세미텍(주),반도체·디스플레이·광학,320명,외국계(외국 법인기타),"3,600만원",45회
181,놀이의발견,전자상거래 소매 중개업,56명,중견기업,"3,500만원",127회
182,㈜오케이포스,솔루션·SI·CRM·ERP,230명,중견기업,"3,000만원",107회
183,오리진,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",7명,중소기업,None,20회
